# f [Hz], A [dBV]
# 
0.000000,-59.273030
250.626566,-69.920780
501.253133,-73.277980
751.879699,-73.583710
1002.506266,-74.330410
1253.132832,-74.518550
1503.759398,-74.606740
1754.385965,-74.912480
2005.012531,-74.830160
2255.639098,-74.971270
2506.265664,-75.100620
2756.892231,-75.212330
3007.518797,-75.071220
3258.145363,-75.000660
3508.771930,-75.200570
3759.398496,-75.188810
4010.025063,-75.094730
4260.651629,-75.206450
4511.278195,-75.006550
4761.904762,-75.188810
5012.531328,-75.182930
5263.157895,-75.177050
5513.784461,-75.147650
5764.411028,-75.006550
6015.037594,-75.006550
6265.664160,-75.229970
6516.290727,-74.836040
6766.917293,-74.994790
7017.543860,-75.118260
7268.170426,-75.147650
7518.796992,-75.053580
7769.423559,-75.112370
8020.050125,-74.794880
8270.676692,-75.118260
8521.303258,-75.088860
8771.929825,-74.894840
9022.556391,-75.112370
9273.182957,-75.088860
9523.809524,-74.888950
9774.436090,-75.035940
10025.062657,-74.959510
10275.689223,-75.012430
10526.315789,-74.983020
10776.942356,-74.930110
11027.568922,-74.959510
11278.195489,-74.994790
11528.822055,-74.959510
11779.448622,-75.147650
12030.075188,-74.753720
12280.701754,-75.024190
12531.328321,-74.794880
12781.954887,-75.088860
13032.581454,-74.736090
13283.208020,-74.912480
13533.834586,-74.871320
13784.461153,-74.853680
14035.087719,-74.859560
14285.714286,-74.824280
14536.340852,-74.994790
14786.967419,-74.736090
15037.593985,-74.771360
15288.220551,-74.871320
15538.847118,-74.930110
15789.473684,-74.953630
16040.100251,-74.935990
16290.726817,-74.689050
16541.353383,-74.653780
16791.979950,-74.606740
17042.606516,-74.824280
17293.233083,-74.789000
17543.859649,-74.818400
17794.486216,-74.824280
18045.112782,-74.935990
18295.739348,-74.665530
18546.365915,-74.894840
18796.992481,-74.642010
19047.619048,-74.671420
19298.245614,-74.789000
19548.872180,-74.759610
19799.498747,-74.765490
20050.125313,-74.618500
20300.751880,-74.589100
20551.378446,-74.700810
20802.005013,-74.665530
21052.631579,-74.777240
21303.258145,-74.659650
21553.884712,-74.747850
21804.511278,-74.553830
22055.137845,-74.477390
22305.764411,-74.465630
22556.390977,-74.483270
22807.017544,-74.565580
23057.644110,-74.447990
23308.270677,-74.577340
23558.897243,-74.489150
23809.523810,-74.418590
24060.150376,-74.506790
24310.776942,-74.436230
24561.403509,-74.589100
24812.030075,-74.577340
25062.656642,-74.453870
25313.283208,-74.724330
25563.909774,-74.524430
25814.536341,-74.400960
26065.162907,-74.265730
26315.789474,-74.512660
26566.416040,-74.642010
26817.042607,-74.412720
27067.669173,-74.389200
27318.295739,-74.506790
27568.922306,-74.277490
27819.548872,-74.447990
28070.175439,-74.306880
28320.802005,-74.459750
28571.428571,-74.471510
28822.055138,-74.542070
29072.681704,-74.295130
29323.308271,-74.371560
29573.934837,-74.353920
29824.561404,-74.418590
30075.187970,-74.395080
30325.814536,-74.383320
30576.441103,-74.295130
30827.067669,-74.230450
31077.694236,-74.459750
31328.320802,-74.400960
31578.947368,-74.530300
31829.573935,-74.301000
32080.200501,-74.242210
32330.827068,-74.112860
32581.453634,-74.277490
32832.080201,-74.077580
33082.706767,-74.271610
33333.333333,-74.177540
33583.959900,-74.177540
33834.586466,-74.195180
34085.213033,-74.383320
34335.839599,-74.277490
34586.466165,-74.048190
34837.092732,-74.183420
35087.719298,-74.177540
35338.345865,-74.095220
35588.972431,-74.112860
35839.598997,-74.336280
36090.225564,-73.954120
36340.852130,-74.154020
36591.478697,-74.195180
36842.105263,-74.130500
37092.731830,-74.224570
37343.358396,-74.154020
37593.984962,-74.177540
37844.611529,-73.983510
38095.238095,-74.148140
38345.864662,-74.071710
38596.491228,-74.136380
38847.117794,-74.095220
39097.744361,-74.048190
39348.370927,-74.106980
39598.997494,-74.030550
39849.624060,-74.077580
40100.250627,-74.036430
40350.877193,-73.960000
40601.503759,-74.106980
40852.130326,-73.912960
41102.756892,-73.924720
41353.383459,-74.071710
41604.010025,-74.148140
