# f [Hz], A [dBV]
# 
0.000000,-61.860000
250.626566,-70.967330
501.253133,-74.759610
751.879699,-75.412230
1002.506266,-75.870830
1253.132832,-76.388230
1503.759398,-76.452900
1754.385965,-76.611650
2005.012531,-76.646930
2255.639098,-76.529340
2506.265664,-76.870350
2756.892231,-76.699840
3007.518797,-76.552850
3258.145363,-76.741000
3508.771930,-76.852710
3759.398496,-76.658680
4010.025063,-76.752750
4260.651629,-76.682200
4511.278195,-76.705720
4761.904762,-76.588130
5012.531328,-76.676320
5263.157895,-76.688080
5513.784461,-76.758640
5764.411028,-76.629290
6015.037594,-76.752750
6265.664160,-76.729230
6516.290727,-76.646930
6766.917293,-76.688080
7017.543860,-76.676320
7268.170426,-76.705720
7518.796992,-76.546970
7769.423559,-76.582250
8020.050125,-76.529340
8270.676692,-76.676320
8521.303258,-76.523450
8771.929825,-76.564610
9022.556391,-76.635160
9273.182957,-76.464660
9523.809524,-76.388230
9774.436090,-76.447020
10025.062657,-76.523450
10275.689223,-76.335310
10526.315789,-76.394100
10776.942356,-76.376460
11027.568922,-76.470540
11278.195489,-76.317670
11528.822055,-76.529340
11779.448622,-76.505810
12030.075188,-76.464660
12280.701754,-76.311790
12531.328321,-76.282390
12781.954887,-76.341190
13032.581454,-76.217720
13283.208020,-76.388230
13533.834586,-76.505810
13784.461153,-76.370590
14035.087719,-76.376460
14285.714286,-76.458780
14536.340852,-76.505810
14786.967419,-76.470540
15037.593985,-76.229480
15288.220551,-76.253000
15538.847118,-76.211840
15789.473684,-76.153050
16040.100251,-76.147160
16290.726817,-76.258880
16541.353383,-76.211840
16791.979950,-76.229480
17042.606516,-76.229480
17293.233083,-75.994300
17543.859649,-76.111890
17794.486216,-76.006060
18045.112782,-76.135410
18295.739348,-76.088370
18546.365915,-76.164800
18796.992481,-75.970780
19047.619048,-76.011940
19298.245614,-76.006060
19548.872180,-76.064850
19799.498747,-76.000180
20050.125313,-76.006060
20300.751880,-76.164800
20551.378446,-76.264760
20802.005013,-76.070730
21052.631579,-75.988420
21303.258145,-76.235360
21553.884712,-76.082490
21804.511278,-75.770880
22055.137845,-75.712080
22305.764411,-76.000180
22556.390977,-75.988420
