# f [Hz], A [dBV]
# 
0.000000,-58.315680
250.626566,-58.621410
501.253133,-62.102070
751.879699,-72.138370
1002.506266,-81.951240
1253.132832,-82.033550
1503.759398,-81.951240
1754.385965,-81.974760
2005.012531,-81.992400
2255.639098,-81.904210
2506.265664,-81.669030
2756.892231,-81.445610
3007.518797,-81.386810
3258.145363,-81.345650
3508.771930,-81.163390
3759.398496,-81.004640
4010.025063,-80.951730
4260.651629,-80.939970
4511.278195,-80.840020
4761.904762,-80.722430
5012.531328,-80.634240
5263.157895,-80.481370
5513.784461,-80.334380
5764.411028,-80.246190
6015.037594,-80.222670
6265.664160,-80.246190
6516.290727,-80.199150
6766.917293,-79.981610
7017.543860,-79.793470
7268.170426,-79.664120
7518.796992,-79.523010
7769.423559,-79.470100
8020.050125,-79.475980
8270.676692,-79.446580
8521.303258,-79.393660
8771.929825,-79.346630
9022.556391,-79.270190
9273.182957,-79.035010
9523.809524,-78.952700
9774.436090,-79.005620
10025.062657,-79.035010
10275.689223,-78.888030
10526.315789,-78.699880
10776.942356,-78.594050
11027.568922,-78.517620
11278.195489,-78.435310
11528.822055,-78.370630
11779.448622,-78.341230
12030.075188,-78.335350
12280.701754,-78.211880
12531.328321,-78.070780
12781.954887,-77.935550
13032.581454,-77.817960
13283.208020,-77.835600
13533.834586,-77.929670
13784.461153,-77.900270
14035.087719,-77.735650
14285.714286,-77.606300
14536.340852,-77.571020
14786.967419,-77.500470
15037.593985,-77.476950
15288.220551,-77.412270
15538.847118,-77.271160
15789.473684,-77.177090
16040.100251,-77.124180
16290.726817,-77.100660
16541.353383,-77.094780
16791.979950,-77.035980
17042.606516,-76.971310
17293.233083,-76.953670
17543.859649,-76.947790
17794.486216,-76.947790
18045.112782,-77.024230
18295.739348,-77.006590
18546.365915,-76.836080
18796.992481,-76.606780
19047.619048,-76.442160
19298.245614,-76.412760
19548.872180,-76.389240
19799.498747,-76.395120
20050.125313,-76.371600
20300.751880,-76.324570
20551.378446,-76.259890
20802.005013,-76.107030
21052.631579,-75.954160
21303.258145,-75.877730
21553.884712,-75.854210
21804.511278,-75.842450
22055.137845,-75.889480
22305.764411,-75.965920
22556.390977,-75.948280
22807.017544,-75.889480
23057.644110,-75.842450
23308.270677,-75.807170
23558.897243,-75.760140
23809.523810,-75.654300
24060.150376,-75.595510
24310.776942,-75.619030
24561.403509,-75.648430
24812.030075,-75.607270
25062.656642,-75.536720
25313.283208,-75.524960
25563.909774,-75.460280
25814.536341,-75.430890
26065.162907,-75.342690
26315.789474,-75.254500
26566.416040,-75.178070
26817.042607,-75.042840
27067.669173,-74.984040
27318.295739,-74.960530
27568.922306,-74.937010
27819.548872,-74.919370
28070.175439,-74.872330
28320.802005,-74.807660
28571.428571,-74.807660
28822.055138,-74.913490
29072.681704,-74.866450
29323.308271,-74.737100
29573.934837,-74.660670
29824.561404,-74.543080
30075.187970,-74.431370
30325.814536,-74.543080
30576.441103,-74.648910
30827.067669,-74.590120
31077.694236,-74.466650
31328.320802,-74.296140
31578.947368,-74.231470
31829.573935,-74.249110
32080.200501,-74.225590
32330.827068,-74.172670
32581.453634,-74.160920
32832.080201,-74.219710
33082.706767,-74.184430
33333.333333,-74.131520
33583.959900,-74.002170
33834.586466,-73.849300
34085.213033,-73.737590
34335.839599,-73.702310
34586.466165,-73.708190
34837.092732,-73.761110
35087.719298,-73.866940
35338.345865,-73.855180
35588.972431,-73.766990
35839.598997,-73.702310
36090.225564,-73.708190
36340.852130,-73.696430
36591.478697,-73.655280
36842.105263,-73.672920
37092.731830,-73.702310
37343.358396,-73.631760
37593.984962,-73.514170
37844.611529,-73.408340
38095.238095,-73.349540
38345.864662,-73.320150
38596.491228,-73.296630
38847.117794,-73.302510
39097.744361,-73.331910
39348.370927,-73.390700
39598.997494,-73.473010
39849.624060,-73.390700
40100.250627,-73.231950
40350.877193,-73.102600
40601.503759,-72.943860
40852.130326,-72.849790
41102.756892,-72.685160
41353.383459,-72.644000
41604.010025,-72.702800
41854.636591,-72.820390
42105.263158,-72.961500
42355.889724,-72.908580
42606.516291,-72.790990
42857.142857,-72.855670
43107.769424,-72.955620
43358.395990,-73.032050
43609.022556,-72.896820
43859.649123,-72.644000
44110.275689,-72.514660
44360.902256,-72.444100
44611.528822,-72.302990
44862.155388,-72.173650
45112.781955,-72.103090
45363.408521,-72.197160
45614.035088,-72.444100
45864.661654,-72.514660
46115.288221,-72.491140
46365.914787,-72.432340
46616.541353,-72.273600
46867.167920,-72.173650
47117.794486,-72.197160
47368.421053,-72.220680
47619.047619,-72.208920
47869.674185,-72.226560
48120.300752,-72.267720
48370.927318,-72.279480
48621.553885,-72.261840
48872.180451,-72.173650
49122.807018,-72.020780
49373.433584,-71.920830
49624.060150,-71.891430
49874.686717,-72.032540
50125.313283,-72.220680
50375.939850,-72.108970
50626.566416,-71.856150
50877.192982,-71.662130
51127.819549,-71.620970
51378.446115,-71.679770
51629.072682,-71.773840
51879.699248,-71.809120
52130.325815,-71.826760
52380.952381,-71.773840
52631.578947,-71.738560
52882.205514,-71.791480
53132.832080,-71.950230
53383.458647,-72.020780
53634.085213,-71.956100
53884.711779,-71.914950
54135.338346,-71.873790
54385.964912,-71.820880
54636.591479,-71.750320
54887.218045,-71.726800
55137.844612,-71.767960
55388.471178,-71.738560
55639.097744,-71.638610
55889.724311,-71.579820
56140.350877,-71.573940
56390.977444,-71.491620
56641.604010,-71.421070
56892.230576,-71.415190
