# f [Hz], A [dBV]
# 
0.000000,-61.536630
250.626566,-69.550380
501.253133,-72.713550
751.879699,-72.966360
1002.506266,-73.789490
1253.132832,-74.101100
1503.759398,-74.177540
1754.385965,-74.624370
2005.012531,-74.583220
2255.639098,-74.565580
2506.265664,-74.612620
2756.892231,-74.800770
3007.518797,-74.565580
3258.145363,-74.689050
3508.771930,-74.665530
3759.398496,-74.800770
4010.025063,-74.677290
4260.651629,-74.606740
4511.278195,-74.553830
4761.904762,-74.583220
5012.531328,-74.677290
5263.157895,-74.677290
5513.784461,-74.542070
5764.411028,-74.665530
6015.037594,-74.630260
6265.664160,-74.565580
6516.290727,-74.547940
6766.917293,-74.636140
7017.543860,-74.542070
7268.170426,-74.706690
7518.796992,-74.600860
7769.423559,-74.612620
8020.050125,-74.500910
8270.676692,-74.647900
8521.303258,-74.489150
8771.929825,-74.436230
9022.556391,-74.553830
9273.182957,-74.647900
9523.809524,-74.600860
9774.436090,-74.524430
10025.062657,-74.677290
10275.689223,-74.442120
10526.315789,-74.430350
10776.942356,-74.571460
11027.568922,-74.642010
11278.195489,-74.477390
11528.822055,-74.512660
11779.448622,-74.471510
12030.075188,-74.365680
12280.701754,-74.542070
12531.328321,-74.430350
12781.954887,-74.559700
13032.581454,-74.659650
13283.208020,-74.289250
13533.834586,-74.506790
13784.461153,-74.371560
14035.087719,-74.565580
14285.714286,-74.571460
14536.340852,-74.559700
14786.967419,-74.400960
15037.593985,-74.530300
15288.220551,-74.606740
15538.847118,-74.406840
15789.473684,-74.447990
16040.100251,-74.418590
16290.726817,-74.371560
16541.353383,-74.395080
16791.979950,-74.183420
17042.606516,-74.318640
17293.233083,-74.447990
17543.859649,-74.189290
17794.486216,-74.248090
18045.112782,-74.365680
18295.739348,-74.353920
18546.365915,-74.318640
18796.992481,-74.336280
19047.619048,-74.148140
19298.245614,-74.442120
19548.872180,-74.189290
19799.498747,-74.312770
20050.125313,-74.230450
20300.751880,-74.295130
20551.378446,-74.183420
20802.005013,-74.348050
21052.631579,-74.418590
21303.258145,-74.289250
21553.884712,-74.400960
21804.511278,-74.265730
22055.137845,-74.177540
22305.764411,-74.206930
22556.390977,-74.118740
22807.017544,-74.359800
23057.644110,-74.395080
23308.270677,-74.124620
23558.897243,-74.165780
23809.523810,-74.148140
24060.150376,-74.177540
24310.776942,-74.154020
24561.403509,-74.201060
24812.030075,-74.183420
25062.656642,-74.230450
25313.283208,-74.030550
25563.909774,-74.124620
25814.536341,-74.118740
26065.162907,-74.342160
26315.789474,-74.112860
26566.416040,-74.054070
26817.042607,-74.177540
27067.669173,-74.195180
27318.295739,-74.042300
27568.922306,-74.218700
27819.548872,-74.059940
28070.175439,-74.277490
28320.802005,-73.942360
28571.428571,-73.924720
28822.055138,-74.189290
29072.681704,-74.054070
29323.308271,-73.948230
29573.934837,-74.136380
29824.561404,-73.942360
30075.187970,-73.971760
30325.814536,-74.048190
30576.441103,-74.101100
30827.067669,-74.024670
31077.694236,-73.971760
31328.320802,-73.918840
31578.947368,-73.936480
31829.573935,-73.936480
32080.200501,-73.871800
32330.827068,-73.801250
32581.453634,-73.960000
32832.080201,-73.242700
33082.706767,-74.007030
33333.333333,-73.836520
33583.959900,-74.018790
33834.586466,-74.007030
34085.213033,-73.883560
34335.839599,-73.824770
34586.466165,-73.877690
34837.092732,-73.789490
35087.719298,-73.871800
35338.345865,-73.854160
35588.972431,-73.760090
35839.598997,-73.836520
36090.225564,-73.777730
36340.852130,-73.824770
36591.478697,-73.830650
36842.105263,-73.854160
37092.731830,-73.783610
37343.358396,-73.701300
37593.984962,-73.695420
37844.611529,-73.783610
38095.238095,-73.695420
38345.864662,-73.865920
38596.491228,-73.671900
38847.117794,-73.630740
39097.744361,-73.883560
39348.370927,-73.654260
39598.997494,-73.695420
39849.624060,-73.519040
40100.250627,-73.707180
40350.877193,-73.695420
40601.503759,-73.771850
40852.130326,-73.718930
41102.756892,-73.677780
41353.383459,-73.742450
41604.010025,-73.472000
41854.636591,-73.295620
42105.263158,-73.554310
42355.889724,-73.601350
42606.516291,-73.689540
42857.142857,-73.442600
43107.769424,-73.589580
43358.395990,-73.695420
43609.022556,-73.648380
43859.649123,-73.566070
44110.275689,-73.654260
44360.902256,-73.524910
44611.528822,-73.630740
44862.155388,-73.624860
45112.781955,-73.630740
45363.408521,-73.554310
45614.035088,-73.354410
45864.661654,-73.560190
46115.288221,-73.566070
46365.914787,-73.419080
46616.541353,-73.472000
46867.167920,-73.495510
47117.794486,-73.477870
47368.421053,-73.442600
47619.047619,-73.583710
47869.674185,-73.566070
48120.300752,-73.601350
48370.927318,-73.236820
48621.553885,-73.330890
48872.180451,-73.513150
49122.807018,-73.248570
49373.433584,-73.424960
49624.060150,-73.536670
49874.686717,-73.460240
50125.313283,-73.530790
50375.939850,-73.360290
50626.566416,-73.424960
50877.192982,-73.395560
51127.819549,-73.401440
51378.446115,-73.424960
51629.072682,-73.424960
51879.699248,-73.618990
52130.325815,-73.430840
52380.952381,-73.436720
52631.578947,-73.583710
52882.205514,-73.436720
53132.832080,-73.595470
53383.458647,-73.366170
53634.085213,-73.383800
53884.711779,-73.430840
54135.338346,-73.389690
54385.964912,-73.507270
54636.591479,-73.419080
54887.218045,-73.554310
55137.844612,-73.524910
55388.471178,-73.548430
55639.097744,-73.483760
55889.724311,-73.395560
56140.350877,-73.613110
56390.977444,-73.430840
56641.604010,-73.513150
56892.230576,-73.472000
57142.857143,-73.348530
57393.483709,-73.442600
57644.110276,-73.401440
57894.736842,-73.407330
58145.363409,-73.472000
58395.989975,-73.442600
58646.616541,-73.377920
