# f [Hz], A [dBV]
# 
0.000000,-63.106450
250.626566,-72.143230
501.253133,-76.723360
751.879699,-77.822820
1002.506266,-78.404890
1253.132832,-78.645950
1503.759398,-78.651830
1754.385965,-78.716500
2005.012531,-78.822330
2255.639098,-78.857610
2506.265664,-78.845850
2756.892231,-78.845850
3007.518797,-78.863490
3258.145363,-78.857610
3508.771930,-78.816460
3759.398496,-78.822330
4010.025063,-78.839970
4260.651629,-78.834100
4511.278195,-78.969320
4761.904762,-78.881130
5012.531328,-78.822330
5263.157895,-78.781180
5513.784461,-78.622430
5764.411028,-78.640070
6015.037594,-78.792940
6265.664160,-78.698870
6516.290727,-78.716500
6766.917293,-78.587150
7017.543860,-78.781180
7268.170426,-78.810580
7518.796992,-78.716500
7769.423559,-78.634190
8020.050125,-78.622430
8270.676692,-78.628310
8521.303258,-78.640070
8771.929825,-78.598920
9022.556391,-78.634190
9273.182957,-78.610670
9523.809524,-78.440170
9774.436090,-78.440170
10025.062657,-78.428410
10275.689223,-78.481320
10526.315789,-78.546000
10776.942356,-78.457810
11027.568922,-78.575400
11278.195489,-78.399010
11528.822055,-78.434290
11779.448622,-78.281430
12030.075188,-78.222630
12280.701754,-78.263790
12531.328321,-78.281430
12781.954887,-78.281430
13032.581454,-78.304940
13283.208020,-78.287300
13533.834586,-78.152080
13784.461153,-78.257900
14035.087719,-78.146190
14285.714286,-78.210870
14536.340852,-78.028600
14786.967419,-78.210870
15037.593985,-78.351970
15288.220551,-78.240260
15538.847118,-78.122670
15789.473684,-78.110920
16040.100251,-78.016850
16290.726817,-78.216750
16541.353383,-78.157950
16791.979950,-77.963930
17042.606516,-77.963930
17293.233083,-77.916890
17543.859649,-77.911010
17794.486216,-77.946290
18045.112782,-77.905140
18295.739348,-78.022730
18546.365915,-77.722870
18796.992481,-77.787540
19047.619048,-77.834580
19298.245614,-77.658200
19548.872180,-77.799300
19799.498747,-77.905140
20050.125313,-77.599400
20300.751880,-77.687590
20551.378446,-77.858100
20802.005013,-77.711110
21052.631579,-77.699360
21303.258145,-77.517090
21553.884712,-77.669950
21804.511278,-77.687590
22055.137845,-77.687590
22305.764411,-77.558240
22556.390977,-77.658200
22807.017544,-77.705230
23057.644110,-77.570010
23308.270677,-77.505330
23558.897243,-77.575880
23809.523810,-77.593520
24060.150376,-77.487690
24310.776942,-77.387740
24561.403509,-77.405380
24812.030075,-77.499450
25062.656642,-77.528850
25313.283208,-77.393620
25563.909774,-77.475930
25814.536341,-77.405380
26065.162907,-77.364220
26315.789474,-77.381860
26566.416040,-77.340710
26817.042607,-77.264270
27067.669173,-77.346580
27318.295739,-77.117280
27568.922306,-77.270150
27819.548872,-77.328940
28070.175439,-77.252510
28320.802005,-77.146680
28571.428571,-76.999690
28822.055138,-77.093770
29072.681704,-77.246630
29323.308271,-77.193720
29573.934837,-77.199590
29824.561404,-77.134920
30075.187970,-77.134920
30325.814536,-77.005570
30576.441103,-76.982060
30827.067669,-77.111400
31077.694236,-77.111400
31328.320802,-77.140800
31578.947368,-76.993810
31829.573935,-76.999690
32080.200501,-76.946780
32330.827068,-76.940900
32581.453634,-76.876220
32832.080201,-76.376460
33082.706767,-76.899740
33333.333333,-76.652800
33583.959900,-76.893860
33834.586466,-76.864460
34085.213033,-76.799790
34335.839599,-76.723360
34586.466165,-76.917380
34837.092732,-76.617520
35087.719298,-76.682200
35338.345865,-76.617520
35588.972431,-76.735120
35839.598997,-76.664560
36090.225564,-76.546970
36340.852130,-76.370590
36591.478697,-76.711600
36842.105263,-76.670440
37092.731830,-76.405860
37343.358396,-76.476420
37593.984962,-76.499940
37844.611529,-76.464660
38095.238095,-76.564610
38345.864662,-76.482300
38596.491228,-76.588130
38847.117794,-76.388230
39097.744361,-76.494060
39348.370927,-76.317670
39598.997494,-76.370590
39849.624060,-76.505810
40100.250627,-76.253000
40350.877193,-76.147160
40601.503759,-76.241240
40852.130326,-76.335310
41102.756892,-76.223600
41353.383459,-76.470540
41604.010025,-76.247120
41854.636591,-76.141290
42105.263158,-76.317670
42355.889724,-76.164800
42606.516291,-76.123650
42857.142857,-76.035450
43107.769424,-76.182440
43358.395990,-75.935500
43609.022556,-76.076610
43859.649123,-75.941380
44110.275689,-76.158930
44360.902256,-75.964900
44611.528822,-76.058980
44862.155388,-76.064850
45112.781955,-75.941380
45363.408521,-76.070730
45614.035088,-75.788520
45864.661654,-75.976660
46115.288221,-75.906110
46365.914787,-75.806150
46616.541353,-76.035450
46867.167920,-75.935500
47117.794486,-75.864950
47368.421053,-75.817920
47619.047619,-75.700330
47869.674185,-75.788520
48120.300752,-75.923740
48370.927318,-75.747360
48621.553885,-75.612130
48872.180451,-75.788520
49122.807018,-75.870830
49373.433584,-75.911990
49624.060150,-75.776760
49874.686717,-75.676800
