# f [Hz], A [dBV]
# 
0.000000,-62.430310
250.626566,-71.208400
501.253133,-75.229970
751.879699,-75.988420
1002.506266,-76.723360
1253.132832,-77.017330
1503.759398,-77.058490
1754.385965,-77.087880
2005.012531,-77.217230
2255.639098,-77.534730
2506.265664,-77.311300
2756.892231,-77.446530
3007.518797,-77.281910
3258.145363,-77.423020
3508.771930,-77.270150
3759.398496,-77.417140
4010.025063,-77.328940
4260.651629,-77.158440
4511.278195,-77.299550
4761.904762,-77.264270
5012.531328,-77.334820
5263.157895,-77.305430
5513.784461,-77.270150
5764.411028,-77.258390
6015.037594,-77.152560
6265.664160,-77.246630
6516.290727,-77.093770
6766.917293,-77.234870
7017.543860,-77.017330
7268.170426,-77.234870
7518.796992,-77.158440
7769.423559,-77.170200
8020.050125,-77.011450
8270.676692,-77.082010
8521.303258,-77.064370
8771.929825,-77.099650
9022.556391,-77.087880
9273.182957,-77.011450
9523.809524,-76.911500
9774.436090,-77.058490
10025.062657,-76.993810
10275.689223,-76.999690
10526.315789,-77.146680
10776.942356,-77.129040
11027.568922,-77.070240
11278.195489,-77.011450
11528.822055,-76.982060
11779.448622,-76.952660
12030.075188,-76.946780
12280.701754,-77.187840
12531.328321,-76.835070
12781.954887,-76.911500
13032.581454,-76.905620
13283.208020,-76.970300
13533.834586,-77.105520
13784.461153,-76.735120
14035.087719,-76.829190
14285.714286,-76.793910
14536.340852,-77.034970
14786.967419,-76.905620
15037.593985,-77.005570
15288.220551,-76.935020
15538.847118,-76.629290
15789.473684,-76.735120
16040.100251,-76.746870
16290.726817,-76.823310
16541.353383,-76.646930
16791.979950,-76.676320
17042.606516,-76.611650
17293.233083,-76.823310
17543.859649,-76.735120
17794.486216,-76.611650
18045.112782,-76.629290
18295.739348,-76.705720
18546.365915,-76.599880
18796.992481,-76.664560
19047.619048,-76.770390
19298.245614,-76.682200
19548.872180,-76.664560
19799.498747,-76.588130
20050.125313,-76.470540
20300.751880,-76.505810
20551.378446,-76.617520
20802.005013,-76.476420
21052.631579,-76.611650
21303.258145,-76.605770
21553.884712,-76.564610
21804.511278,-76.499940
22055.137845,-76.617520
22305.764411,-76.558730
22556.390977,-76.294150
22807.017544,-76.423500
23057.644110,-76.364710
23308.270677,-76.482300
23558.897243,-76.517580
23809.523810,-76.335310
24060.150376,-76.282390
24310.776942,-76.300030
24561.403509,-76.317670
24812.030075,-76.517580
25062.656642,-76.352950
25313.283208,-76.376460
25563.909774,-76.205960
25814.536341,-76.282390
26065.162907,-76.241240
26315.789474,-76.258880
26566.416040,-76.364710
26817.042607,-76.200080
27067.669173,-76.311790
27318.295739,-76.153050
27568.922306,-76.070730
27819.548872,-76.117770
28070.175439,-76.135410
28320.802005,-76.129520
28571.428571,-76.176570
28822.055138,-76.064850
29072.681704,-76.106010
29323.308271,-76.082490
29573.934837,-76.106010
29824.561404,-76.047220
30075.187970,-76.229480
30325.814536,-76.088370
30576.441103,-76.147160
30827.067669,-76.000180
31077.694236,-76.006060
31328.320802,-76.017810
31578.947368,-76.076610
