# f [Hz], A [dBV]
# 
0.000000,-63.212280
250.626566,-70.573410
501.253133,-74.406840
751.879699,-74.783130
1002.506266,-75.465150
1253.132832,-75.665050
1503.759398,-75.794400
1754.385965,-76.076610
2005.012531,-76.053090
2255.639098,-76.141290
2506.265664,-76.111890
2756.892231,-76.070730
3007.518797,-76.100130
3258.145363,-76.188320
3508.771930,-76.217720
3759.398496,-76.217720
4010.025063,-75.970780
4260.651629,-76.111890
4511.278195,-76.076610
4761.904762,-76.094250
5012.531328,-76.000180
5263.157895,-76.123650
5513.784461,-75.988420
5764.411028,-76.076610
6015.037594,-75.911990
6265.664160,-76.035450
6516.290727,-76.076610
6766.917293,-76.100130
7017.543860,-76.117770
7268.170426,-75.788520
7518.796992,-76.082490
7769.423559,-76.070730
8020.050125,-75.923740
8270.676692,-76.123650
8521.303258,-75.994300
8771.929825,-76.023700
9022.556391,-76.006060
9273.182957,-75.900230
9523.809524,-75.923740
9774.436090,-75.888470
10025.062657,-75.888470
10275.689223,-75.988420
10526.315789,-75.700330
10776.942356,-75.829670
11027.568922,-75.970780
11278.195489,-75.823790
11528.822055,-75.976660
11779.448622,-75.882590
12030.075188,-75.964900
12280.701754,-75.817920
12531.328321,-75.641530
12781.954887,-75.864950
13032.581454,-75.941380
13283.208020,-75.770880
13533.834586,-75.906110
13784.461153,-75.823790
14035.087719,-75.823790
14285.714286,-75.788520
14536.340852,-75.847310
14786.967419,-75.770880
15037.593985,-75.864950
15288.220551,-75.829670
15538.847118,-75.741480
15789.473684,-75.817920
16040.100251,-75.765000
16290.726817,-75.600370
16541.353383,-75.694440
16791.979950,-75.694440
17042.606516,-75.647410
17293.233083,-75.653290
17543.859649,-75.670930
17794.486216,-75.770880
18045.112782,-75.471020
18295.739348,-75.676800
18546.365915,-75.618010
18796.992481,-75.606250
19047.619048,-75.588620
19298.245614,-75.676800
19548.872180,-75.476910
19799.498747,-75.541580
20050.125313,-75.635650
20300.751880,-75.400470
20551.378446,-75.471020
20802.005013,-75.700330
21052.631579,-75.382840
21303.258145,-75.506300
21553.884712,-75.635650
21804.511278,-75.559220
22055.137845,-75.606250
22305.764411,-75.277000
22556.390977,-75.329920
22807.017544,-75.606250
23057.644110,-75.588620
23308.270677,-75.459270
23558.897243,-75.353430
23809.523810,-75.429870
24060.150376,-75.670930
24310.776942,-75.306400
24561.403509,-75.324040
24812.030075,-75.130010
25062.656642,-75.418110
25313.283208,-75.353430
25563.909774,-75.506300
25814.536341,-75.153530
26065.162907,-75.177050
26315.789474,-75.518060
26566.416040,-75.441630
26817.042607,-75.306400
27067.669173,-75.182930
27318.295739,-75.141780
27568.922306,-75.394590
27819.548872,-75.294640
28070.175439,-75.312280
28320.802005,-75.388710
28571.428571,-75.229970
28822.055138,-75.259360
29072.681704,-75.130010
29323.308271,-75.282880
29573.934837,-75.206450
29824.561404,-75.106500
30075.187970,-75.288760
30325.814536,-75.247600
30576.441103,-75.106500
30827.067669,-75.177050
31077.694236,-74.888950
31328.320802,-75.247600
31578.947368,-75.112370
31829.573935,-75.147650
32080.200501,-75.294640
32330.827068,-75.035940
32581.453634,-75.012430
32832.080201,-74.918350
33082.706767,-75.147650
33333.333333,-75.100620
33583.959900,-74.924230
33834.586466,-75.035940
34085.213033,-75.041820
34335.839599,-74.877200
34586.466165,-75.024190
34837.092732,-74.935990
35087.719298,-75.100620
35338.345865,-75.030060
35588.972431,-75.100620
35839.598997,-74.983020
36090.225564,-74.947750
36340.852130,-74.918350
36591.478697,-74.747850
36842.105263,-74.841920
37092.731830,-74.741970
37343.358396,-74.894840
37593.984962,-74.965390
37844.611529,-74.606740
38095.238095,-74.800770
38345.864662,-74.841920
38596.491228,-74.718450
38847.117794,-75.053580
39097.744361,-74.865440
39348.370927,-74.636140
39598.997494,-74.783130
39849.624060,-74.812520
40100.250627,-74.841920
40350.877193,-74.630260
40601.503759,-74.765490
40852.130326,-74.777240
41102.756892,-74.400960
41353.383459,-74.812520
41604.010025,-74.636140
41854.636591,-74.636140
42105.263158,-74.577340
42355.889724,-74.730210
42606.516291,-74.547940
42857.142857,-74.536190
43107.769424,-74.442120
43358.395990,-74.624370
43609.022556,-74.565580
43859.649123,-74.436230
44110.275689,-74.689050
44360.902256,-74.642010
44611.528822,-74.712570
44862.155388,-74.330410
45112.781955,-74.530300
45363.408521,-74.459750
45614.035088,-74.330410
45864.661654,-74.406840
46115.288221,-74.471510
46365.914787,-74.312770
46616.541353,-74.471510
46867.167920,-74.559700
47117.794486,-74.471510
47368.421053,-74.471510
47619.047619,-74.365680
47869.674185,-74.230450
48120.300752,-74.436230
48370.927318,-74.289250
48621.553885,-74.301000
48872.180451,-74.406840
49122.807018,-74.324520
49373.433584,-74.730210
49624.060150,-74.559700
49874.686717,-74.324520
50125.313283,-74.259850
50375.939850,-74.447990
50626.566416,-74.365680
50877.192982,-74.412720
51127.819549,-74.248090
51378.446115,-74.206930
51629.072682,-74.253970
51879.699248,-74.312770
52130.325815,-74.295130
52380.952381,-74.253970
52631.578947,-74.594980
52882.205514,-74.383320
53132.832080,-74.312770
53383.458647,-74.248090
53634.085213,-74.353920
53884.711779,-74.283370
54135.338346,-74.424480
54385.964912,-74.424480
54636.591479,-74.336280
54887.218045,-74.406840
55137.844612,-74.289250
55388.471178,-74.518550
55639.097744,-74.236330
55889.724311,-74.159900
56140.350877,-74.342160
56390.977444,-74.306880
56641.604010,-74.271610
56892.230576,-74.242210
57142.857143,-74.436230
57393.483709,-74.277490
57644.110276,-74.101100
57894.736842,-74.442120
58145.363409,-74.283370
58395.989975,-74.412720
58646.616541,-74.389200
58897.243108,-74.342160
59147.869674,-74.271610
59398.496241,-74.318640
59649.122807,-74.301000
59899.749373,-74.359800
60150.375940,-74.383320
60401.002506,-74.412720
60651.629073,-74.236330
60902.255639,-74.165780
61152.882206,-74.324520
61403.508772,-74.336280
61654.135338,-74.142260
61904.761905,-73.977630
62155.388471,-74.459750
62406.015038,-74.201060
62656.641604,-74.165780
62907.268170,-74.118740
63157.894737,-74.236330
