# f [Hz], A [dBV]
# 
0.000000,-35.364090
250.626566,-52.120640
501.253133,-57.476860
751.879699,-57.917820
1002.506266,-60.146150
1253.132832,-60.810530
1503.759398,-60.328410
1754.385965,-63.244640
2005.012531,-63.838470
2255.639098,-64.232400
2506.265664,-65.960970
2756.892231,-66.407810
3007.518797,-66.825260
3258.145363,-67.607220
3508.771930,-67.971760
3759.398496,-68.183420
4010.025063,-68.459750
4260.651629,-68.677290
4511.278195,-68.794880
4761.904762,-68.853680
5012.531328,-69.182930
5263.157895,-69.253490
5513.784461,-69.365200
5764.411028,-69.482780
6015.037594,-69.518060
6265.664160,-69.670930
6516.290727,-69.676800
6766.917293,-69.665050
7017.543860,-69.964900
7268.170426,-69.923740
7518.796992,-70.017810
7769.423559,-70.088370
8020.050125,-69.976660
8270.676692,-70.076610
8521.303258,-69.994300
8771.929825,-70.088370
9022.556391,-70.217720
9273.182957,-70.023700
9523.809524,-70.129520
9774.436090,-70.241240
10025.062657,-70.294150
10275.689223,-70.129520
10526.315789,-70.205960
10776.942356,-70.241240
11027.568922,-70.200080
11278.195489,-70.170680
11528.822055,-70.153050
11779.448622,-70.235360
12030.075188,-70.176570
12280.701754,-70.135410
12531.328321,-70.235360
12781.954887,-70.223600
13032.581454,-70.205960
13283.208020,-70.229480
13533.834586,-70.217720
13784.461153,-70.264760
14035.087719,-70.211840
14285.714286,-70.264760
14536.340852,-70.235360
14786.967419,-70.270640
15037.593985,-70.370590
15288.220551,-70.235360
15538.847118,-70.235360
15789.473684,-70.264760
16040.100251,-70.282390
16290.726817,-70.241240
16541.353383,-70.253000
16791.979950,-70.235360
17042.606516,-70.094250
17293.233083,-70.282390
17543.859649,-70.253000
17794.486216,-70.305920
18045.112782,-70.300030
18295.739348,-70.329430
18546.365915,-70.188320
18796.992481,-70.135410
19047.619048,-70.188320
19298.245614,-70.347070
19548.872180,-70.276510
19799.498747,-70.247120
20050.125313,-70.270640
20300.751880,-70.264760
20551.378446,-70.247120
20802.005013,-70.129520
21052.631579,-70.217720
21303.258145,-70.194200
21553.884712,-70.347070
21804.511278,-70.170680
22055.137845,-70.211840
22305.764411,-70.276510
22556.390977,-70.329430
22807.017544,-70.347070
23057.644110,-70.223600
23308.270677,-70.205960
23558.897243,-70.235360
23809.523810,-70.300030
24060.150376,-70.217720
24310.776942,-70.241240
24561.403509,-70.194200
24812.030075,-70.182440
25062.656642,-70.276510
25313.283208,-70.217720
25563.909774,-70.276510
25814.536341,-70.153050
26065.162907,-70.211840
26315.789474,-70.323550
26566.416040,-70.217720
26817.042607,-70.194200
27067.669173,-70.188320
27318.295739,-70.253000
27568.922306,-70.382350
27819.548872,-70.264760
28070.175439,-70.229480
28320.802005,-70.194200
28571.428571,-70.200080
28822.055138,-70.135410
29072.681704,-70.117770
29323.308271,-70.300030
29573.934837,-70.211840
29824.561404,-70.194200
30075.187970,-70.153050
30325.814536,-70.258880
30576.441103,-70.217720
30827.067669,-70.182440
31077.694236,-70.088370
31328.320802,-70.264760
31578.947368,-70.241240
31829.573935,-70.229480
32080.200501,-70.205960
32330.827068,-70.170680
32581.453634,-70.305920
32832.080201,-70.147160
33082.706767,-70.129520
33333.333333,-70.247120
33583.959900,-70.153050
33834.586466,-70.170680
34085.213033,-70.047220
34335.839599,-70.211840
34586.466165,-70.276510
34837.092732,-70.205960
35087.719298,-70.070730
35338.345865,-70.153050
35588.972431,-70.205960
35839.598997,-70.106010
36090.225564,-70.182440
36340.852130,-70.223600
36591.478697,-70.170680
36842.105263,-70.282390
37092.731830,-70.106010
37343.358396,-70.123650
37593.984962,-70.229480
37844.611529,-70.194200
38095.238095,-70.176570
38345.864662,-70.241240
38596.491228,-70.100130
38847.117794,-70.294150
39097.744361,-70.147160
39348.370927,-70.106010
39598.997494,-70.123650
39849.624060,-70.158930
40100.250627,-70.111890
40350.877193,-70.247120
40601.503759,-70.358830
40852.130326,-70.064850
41102.756892,-70.100130
41353.383459,-70.094250
41604.010025,-70.141290
41854.636591,-70.111890
42105.263158,-70.235360
42355.889724,-70.164800
42606.516291,-70.200080
42857.142857,-70.282390
43107.769424,-70.188320
43358.395990,-70.106010
43609.022556,-70.147160
43859.649123,-70.053090
44110.275689,-70.064850
44360.902256,-70.217720
44611.528822,-70.188320
44862.155388,-70.088370
45112.781955,-70.064850
45363.408521,-70.170680
45614.035088,-70.176570
45864.661654,-70.082490
46115.288221,-70.158930
46365.914787,-70.200080
46616.541353,-70.135410
46867.167920,-70.270640
47117.794486,-70.211840
47368.421053,-70.153050
47619.047619,-70.164800
47869.674185,-70.223600
48120.300752,-70.141290
48370.927318,-70.235360
48621.553885,-70.229480
48872.180451,-70.158930
49122.807018,-70.111890
49373.433584,-70.241240
49624.060150,-70.058980
