# f [Hz], A [dBV]
# 
0.000000,-64.358790
250.626566,-72.672390
501.253133,-78.169710
751.879699,-79.275050
1002.506266,-79.733660
1253.132832,-80.239290
1503.759398,-80.168740
1754.385965,-80.351000
2005.012531,-80.215770
2255.639098,-80.427440
2506.265664,-80.462720
2756.892231,-80.409800
3007.518797,-80.286330
3258.145363,-80.503870
3508.771930,-80.480350
3759.398496,-80.333370
4010.025063,-80.421560
4260.651629,-80.356880
4511.278195,-80.315730
4761.904762,-80.298090
5012.531328,-80.168740
5263.157895,-80.198140
5513.784461,-80.303970
5764.411028,-80.209900
6015.037594,-80.162860
6265.664160,-80.133460
6516.290727,-80.115820
6766.917293,-80.156980
7017.543860,-80.021750
7268.170426,-80.027630
7518.796992,-80.015870
7769.423559,-80.045270
8020.050125,-80.133460
8270.676692,-79.992360
8521.303258,-80.051150
8771.929825,-79.851250
9022.556391,-80.074670
9273.182957,-79.792450
9523.809524,-79.892400
9774.436090,-79.739540
10025.062657,-79.657220
10275.689223,-79.927680
10526.315789,-79.745410
10776.942356,-79.674860
11027.568922,-79.815970
11278.195489,-79.598430
11528.822055,-79.516120
11779.448622,-79.751290
12030.075188,-79.639580
12280.701754,-79.674860
12531.328321,-79.680740
12781.954887,-79.610190
13032.581454,-79.586670
13283.208020,-79.563150
13533.834586,-79.427920
13784.461153,-79.404400
14035.087719,-79.404400
14285.714286,-79.404400
14536.340852,-79.380890
14786.967419,-79.245660
15037.593985,-79.557270
15288.220551,-79.404400
15538.847118,-79.210380
15789.473684,-79.298570
16040.100251,-79.169220
16290.726817,-79.157470
16541.353383,-79.098670
16791.979950,-79.163350
17042.606516,-78.839970
17293.233083,-79.133950
17543.859649,-79.092790
17794.486216,-78.963440
18045.112782,-79.081030
18295.739348,-78.992840
18546.365915,-79.063390
18796.992481,-79.116310
19047.619048,-79.016360
19298.245614,-78.922290
19548.872180,-78.957570
19799.498747,-78.834100
20050.125313,-79.010480
20300.751880,-78.810580
20551.378446,-78.963440
20802.005013,-78.810580
21052.631579,-78.763540
21303.258145,-78.581280
21553.884712,-78.634190
21804.511278,-78.681230
22055.137845,-78.622430
22305.764411,-78.775300
22556.390977,-78.493080
22807.017544,-78.522480
23057.644110,-78.598920
23308.270677,-78.493080
23558.897243,-78.698870
23809.523810,-78.563640
24060.150376,-78.551880
24310.776942,-78.428410
24561.403509,-78.481320
24812.030075,-78.293180
25062.656642,-78.304940
25313.283208,-78.381370
25563.909774,-78.428410
25814.536341,-78.357860
26065.162907,-78.063880
26315.789474,-78.299060
26566.416040,-78.293180
26817.042607,-78.422530
27067.669173,-78.152080
27318.295739,-78.263790
27568.922306,-78.257900
27819.548872,-78.128560
28070.175439,-78.269660
28320.802005,-78.075640
28571.428571,-78.093280
28822.055138,-78.175590
29072.681704,-78.087400
29323.308271,-78.046240
29573.934837,-77.916890
29824.561404,-78.181470
30075.187970,-78.193230
30325.814536,-78.116800
30576.441103,-77.963930
30827.067669,-77.922780
31077.694236,-78.081520
31328.320802,-77.981570
31578.947368,-77.752270
31829.573935,-77.928650
32080.200501,-77.822820
32330.827068,-77.705230
32581.453634,-77.587640
32832.080201,-76.676320
33082.706767,-77.805180
33333.333333,-77.669950
33583.959900,-77.587640
33834.586466,-77.511210
34085.213033,-77.693470
34335.839599,-77.664080
34586.466165,-77.481810
34837.092732,-77.611160
35087.719298,-77.617040
35338.345865,-77.417140
35588.972431,-77.352460
35839.598997,-77.452420
36090.225564,-77.323070
36340.852130,-77.340710
36591.478697,-77.434780
36842.105263,-77.387740
37092.731830,-77.176080
37343.358396,-77.317180
37593.984962,-77.270150
37844.611529,-77.293670
38095.238095,-77.146680
38345.864662,-77.323070
38596.491228,-77.217230
38847.117794,-77.364220
39097.744361,-77.105520
39348.370927,-77.087880
39598.997494,-77.134920
39849.624060,-77.111400
40100.250627,-76.982060
40350.877193,-77.187840
40601.503759,-77.058490
40852.130326,-76.987930
41102.756892,-76.664560
41353.383459,-77.052600
41604.010025,-77.064370
41854.636591,-76.764510
42105.263158,-76.770390
42355.889724,-76.764510
42606.516291,-76.746870
42857.142857,-76.570490
43107.769424,-76.552850
43358.395990,-76.511700
43609.022556,-76.523450
43859.649123,-76.793910
44110.275689,-76.605770
44360.902256,-76.394100
44611.528822,-76.688080
44862.155388,-76.470540
45112.781955,-76.541090
45363.408521,-76.693960
45614.035088,-76.452900
45864.661654,-76.535210
46115.288221,-76.470540
46365.914787,-76.523450
46616.541353,-76.423500
46867.167920,-76.335310
47117.794486,-76.429380
47368.421053,-76.352950
47619.047619,-76.182440
47869.674185,-76.499940
48120.300752,-76.423500
48370.927318,-76.188320
48621.553885,-76.341190
48872.180451,-76.294150
49122.807018,-76.135410
49373.433584,-76.170680
49624.060150,-76.441140
49874.686717,-76.194200
50125.313283,-76.258880
50375.939850,-76.376460
50626.566416,-76.070730
50877.192982,-76.282390
51127.819549,-76.264760
51378.446115,-76.223600
51629.072682,-76.158930
51879.699248,-76.106010
52130.325815,-76.270640
52380.952381,-76.176570
52631.578947,-76.129520
52882.205514,-76.029580
53132.832080,-76.217720
53383.458647,-76.117770
53634.085213,-76.053090
53884.711779,-76.200080
54135.338346,-76.170680
54385.964912,-76.111890
54636.591479,-76.264760
54887.218045,-76.188320
55137.844612,-76.153050
55388.471178,-76.170680
55639.097744,-76.094250
55889.724311,-76.170680
56140.350877,-76.123650
56390.977444,-76.076610
56641.604010,-76.082490
56892.230576,-76.129520
57142.857143,-76.205960
57393.483709,-76.188320
57644.110276,-76.029580
57894.736842,-76.153050
58145.363409,-76.147160
58395.989975,-76.158930
58646.616541,-76.129520
58897.243108,-75.911990
59147.869674,-76.035450
59398.496241,-76.100130
59649.122807,-76.053090
59899.749373,-75.906110
60150.375940,-76.029580
60401.002506,-76.017810
60651.629073,-75.964900
60902.255639,-75.947270
61152.882206,-75.911990
61403.508772,-75.976660
