# f [Hz], A [dBV]
# 
0.000000,-54.659610
250.626566,-66.636140
501.253133,-67.935500
751.879699,-67.523940
1002.506266,-67.894350
1253.132832,-68.364710
1503.759398,-68.088370
1754.385965,-68.658680
2005.012531,-68.852710
2255.639098,-68.711600
2506.265664,-68.935020
2756.892231,-69.011450
3007.518797,-69.146680
3258.145363,-69.076130
3508.771930,-69.070240
3759.398496,-69.176080
4010.025063,-69.411250
4260.651629,-69.193720
4511.278195,-69.223110
4761.904762,-69.140800
5012.531328,-69.246630
5263.157895,-69.199590
5513.784461,-69.223110
5764.411028,-69.246630
6015.037594,-69.364220
6265.664160,-69.352460
6516.290727,-69.240750
6766.917293,-69.211360
7017.543860,-69.370100
7268.170426,-69.152560
7518.796992,-69.346580
7769.423559,-69.129040
8020.050125,-69.193720
8270.676692,-69.234870
8521.303258,-69.270150
8771.929825,-69.211360
9022.556391,-69.181950
9273.182957,-69.281910
9523.809524,-69.205470
9774.436090,-69.252510
10025.062657,-69.034970
10275.689223,-69.176080
10526.315789,-69.287790
10776.942356,-69.087880
11027.568922,-69.082010
11278.195489,-69.058490
11528.822055,-69.170200
11779.448622,-69.146680
12030.075188,-69.287790
12280.701754,-69.258390
12531.328321,-69.193720
12781.954887,-69.129040
13032.581454,-69.229000
13283.208020,-69.123160
13533.834586,-69.046730
13784.461153,-69.258390
14035.087719,-69.199590
14285.714286,-69.246630
14536.340852,-69.176080
14786.967419,-69.176080
15037.593985,-69.193720
15288.220551,-69.064370
15538.847118,-69.093770
15789.473684,-69.199590
16040.100251,-69.193720
16290.726817,-69.217230
16541.353383,-69.411250
16791.979950,-69.146680
17042.606516,-69.123160
17293.233083,-69.205470
17543.859649,-69.158440
17794.486216,-68.976170
18045.112782,-69.234870
18295.739348,-69.158440
18546.365915,-69.234870
18796.992481,-69.134920
19047.619048,-69.017330
19298.245614,-69.176080
19548.872180,-69.146680
19799.498747,-69.111400
20050.125313,-69.093770
20300.751880,-69.246630
20551.378446,-69.123160
20802.005013,-69.170200
21052.631579,-69.234870
21303.258145,-69.123160
21553.884712,-69.105520
21804.511278,-68.999690
22055.137845,-69.029090
22305.764411,-69.093770
22556.390977,-69.040850
22807.017544,-69.087880
23057.644110,-69.158440
23308.270677,-68.987930
23558.897243,-69.011450
23809.523810,-69.129040
24060.150376,-68.940900
24310.776942,-69.123160
24561.403509,-68.976170
24812.030075,-68.923260
25062.656642,-69.093770
25313.283208,-68.993810
25563.909774,-68.976170
25814.536341,-69.029090
26065.162907,-69.052600
26315.789474,-68.935020
26566.416040,-69.246630
26817.042607,-69.076130
27067.669173,-68.864460
27318.295739,-68.805670
27568.922306,-69.017330
27819.548872,-69.029090
28070.175439,-69.129040
28320.802005,-69.064370
28571.428571,-68.917380
28822.055138,-69.146680
29072.681704,-69.111400
29323.308271,-69.076130
29573.934837,-69.099650
29824.561404,-69.211360
30075.187970,-69.076130
30325.814536,-69.046730
30576.441103,-69.040850
30827.067669,-69.123160
31077.694236,-69.023210
31328.320802,-69.046730
31578.947368,-68.999690
31829.573935,-69.034970
32080.200501,-69.034970
32330.827068,-68.987930
32581.453634,-69.193720
32832.080201,-69.087880
33082.706767,-69.158440
33333.333333,-68.940900
33583.959900,-69.046730
33834.586466,-68.958530
34085.213033,-69.111400
34335.839599,-68.982060
34586.466165,-68.976170
34837.092732,-68.982060
35087.719298,-69.111400
35338.345865,-69.123160
35588.972431,-68.940900
35839.598997,-69.052600
36090.225564,-69.170200
36340.852130,-69.093770
36591.478697,-69.099650
36842.105263,-69.134920
37092.731830,-69.140800
37343.358396,-69.058490
37593.984962,-69.017330
37844.611529,-69.176080
38095.238095,-69.034970
38345.864662,-68.917380
38596.491228,-69.029090
38847.117794,-69.111400
39097.744361,-68.887990
39348.370927,-68.958530
39598.997494,-68.911500
39849.624060,-68.711600
40100.250627,-68.835070
40350.877193,-68.594010
40601.503759,-68.905620
40852.130326,-68.652800
41102.756892,-68.423500
41353.383459,-68.300030
41604.010025,-68.047220
41854.636591,-67.900230
42105.263158,-67.553340
42355.889724,-67.418110
42606.516291,-67.594500
42857.142857,-67.318160
43107.769424,-66.918350
43358.395990,-66.783130
43609.022556,-66.653780
43859.649123,-66.594980
44110.275689,-66.542070
44360.902256,-66.789000
44611.528822,-66.606740
44862.155388,-66.665530
45112.781955,-67.035940
45363.408521,-66.877200
45614.035088,-66.277490
45864.661654,-66.518550
46115.288221,-66.565580
46365.914787,-66.871320
46616.541353,-67.412230
46867.167920,-66.565580
47117.794486,-66.165780
47368.421053,-66.824280
47619.047619,-66.794880
47869.674185,-67.030060
48120.300752,-67.141780
48370.927318,-66.406840
48621.553885,-66.495030
48872.180451,-67.006550
49122.807018,-67.135890
49373.433584,-67.082980
49624.060150,-66.906590
49874.686717,-66.718450
50125.313283,-66.947750
50375.939850,-67.453380
50626.566416,-67.465150
50877.192982,-67.159410
51127.819549,-66.830160
51378.446115,-66.824280
51629.072682,-67.118260
