# f [Hz], A [dBV]
# 
0.000000,-62.318600
250.626566,-73.677780
501.253133,-79.616070
751.879699,-81.044780
1002.506266,-81.568060
1253.132832,-82.161890
1503.759398,-82.061940
1754.385965,-82.355910
2005.012531,-82.220680
2255.639098,-82.355910
2506.265664,-82.238320
2756.892231,-82.314750
3007.518797,-82.244200
3258.145363,-82.144250
3508.771930,-82.185410
3759.398496,-82.044300
4010.025063,-82.032540
4260.651629,-82.185410
4511.278195,-82.085450
4761.904762,-82.032540
5012.531328,-81.985500
5263.157895,-81.991380
5513.784461,-82.003140
5764.411028,-82.009020
6015.037594,-81.715050
6265.664160,-81.785600
6516.290727,-81.844390
6766.917293,-81.950230
7017.543860,-81.856150
7268.170426,-81.538660
7518.796992,-81.756200
7769.423559,-81.932590
8020.050125,-81.609210
8270.676692,-81.673890
8521.303258,-81.626850
8771.929825,-81.344640
9022.556391,-81.479870
9273.182957,-81.509260
9523.809524,-81.485740
9774.436090,-81.321120
10025.062657,-81.432830
10275.689223,-81.438710
10526.315789,-81.191770
10776.942356,-81.309360
11027.568922,-81.127100
11278.195489,-81.103580
11528.822055,-81.227050
11779.448622,-80.980110
12030.075188,-81.091820
12280.701754,-81.003630
12531.328321,-81.091820
12781.954887,-80.933070
13032.581454,-81.044780
13283.208020,-81.144730
13533.834586,-80.774330
13784.461153,-80.809600
14035.087719,-80.644980
14285.714286,-80.697900
14536.340852,-80.597940
14786.967419,-80.492110
15037.593985,-80.527390
15288.220551,-80.597940
15538.847118,-80.633220
15789.473684,-80.674370
16040.100251,-80.421560
16290.726817,-80.456830
16541.353383,-80.656740
16791.979950,-80.521510
17042.606516,-80.345120
17293.233083,-80.445080
17543.859649,-80.486230
17794.486216,-80.321610
18045.112782,-80.086430
18295.739348,-80.133460
18546.365915,-80.256930
18796.992481,-80.180500
19047.619048,-80.174620
19298.245614,-80.168740
19548.872180,-80.068790
19799.498747,-80.080550
20050.125313,-79.974720
20300.751880,-80.115820
20551.378446,-79.992360
20802.005013,-79.898280
21052.631579,-80.139340
21303.258145,-79.915920
21553.884712,-79.727780
21804.511278,-79.857120
22055.137845,-79.957080
22305.764411,-79.745410
22556.390977,-79.663100
22807.017544,-79.604310
23057.644110,-79.716020
23308.270677,-79.786570
23558.897243,-79.510230
23809.523810,-79.474960
24060.150376,-79.674860
24310.776942,-79.704260
24561.403509,-79.469080
